bytes,percentage,filenames,linenumbers
2080023440,89.65,glinpred.jl,108
120000000,5.17,gglmfit.jl,178
60000240,2.59,gglmfit.jl,49
20000080,0.86,gglmfit.jl,288
20000080,0.86,gglmfit.jl,54
20000080,0.86,gglmfit.jl,53
21712,0.0,glinpred.jl,105
168,0.0,gglmfit.jl,479
96,0.0,gglmfit.jl,462
32,0.0,glinpred.jl,107
0,0.0,glinpred.jl,165
0,0.0,glinpred.jl,164
0,0.0,glinpred.jl,163
0,0.0,glinpred.jl,162
0,0.0,glinpred.jl,161
0,0.0,glinpred.jl,160
0,0.0,glinpred.jl,156
0,0.0,glinpred.jl,155
0,0.0,glinpred.jl,154
0,0.0,glinpred.jl,153
0,0.0,glinpred.jl,152
0,0.0,glinpred.jl,32
0,0.0,glinpred.jl,30
0,0.0,glinpred.jl,29
0,0.0,glinpred.jl,28
0,0.0,glinpred.jl,27
0,0.0,glinpred.jl,26
0,0.0,gglmtools.jl,398
0,0.0,gglmtools.jl,396
0,0.0,gglmtools.jl,395
0,0.0,gglmtools.jl,394
0,0.0,gglmtools.jl,393
0,0.0,gglmtools.jl,247
0,0.0,gglmtools.jl,245
0,0.0,gglmtools.jl,243
0,0.0,gglmtools.jl,242
0,0.0,gglmtools.jl,241
0,0.0,gglmtools.jl,240
0,0.0,gglmtools.jl,239
0,0.0,gglmfit.jl,571
0,0.0,gglmfit.jl,569
0,0.0,gglmfit.jl,568
0,0.0,gglmfit.jl,563
0,0.0,gglmfit.jl,560
0,0.0,gglmfit.jl,559
0,0.0,gglmfit.jl,556
0,0.0,gglmfit.jl,555
0,0.0,gglmfit.jl,552
0,0.0,gglmfit.jl,547
0,0.0,gglmfit.jl,546
0,0.0,gglmfit.jl,542
0,0.0,gglmfit.jl,541
0,0.0,gglmfit.jl,539
0,0.0,gglmfit.jl,538
0,0.0,gglmfit.jl,537
0,0.0,gglmfit.jl,463
0,0.0,gglmfit.jl,461
0,0.0,gglmfit.jl,458
0,0.0,gglmfit.jl,457
0,0.0,gglmfit.jl,342
0,0.0,gglmfit.jl,341
0,0.0,gglmfit.jl,340
0,0.0,gglmfit.jl,338
0,0.0,gglmfit.jl,337
0,0.0,gglmfit.jl,333
0,0.0,gglmfit.jl,332
0,0.0,gglmfit.jl,329
0,0.0,gglmfit.jl,326
0,0.0,gglmfit.jl,324
0,0.0,gglmfit.jl,323
0,0.0,gglmfit.jl,321
0,0.0,gglmfit.jl,320
0,0.0,gglmfit.jl,319
0,0.0,gglmfit.jl,312
0,0.0,gglmfit.jl,310
0,0.0,gglmfit.jl,309
0,0.0,gglmfit.jl,308
0,0.0,gglmfit.jl,307
0,0.0,gglmfit.jl,301
0,0.0,gglmfit.jl,299
0,0.0,gglmfit.jl,291
0,0.0,gglmfit.jl,290
0,0.0,gglmfit.jl,289
0,0.0,gglmfit.jl,282
0,0.0,gglmfit.jl,281
0,0.0,gglmfit.jl,278
0,0.0,gglmfit.jl,277
0,0.0,gglmfit.jl,274
0,0.0,gglmfit.jl,186
0,0.0,gglmfit.jl,185
0,0.0,gglmfit.jl,179
0,0.0,gglmfit.jl,177
0,0.0,gglmfit.jl,176
0,0.0,gglmfit.jl,174
0,0.0,gglmfit.jl,98
0,0.0,gglmfit.jl,96
0,0.0,gglmfit.jl,95
0,0.0,gglmfit.jl,94
0,0.0,gglmfit.jl,93
0,0.0,gglmfit.jl,92
0,0.0,gglmfit.jl,58
0,0.0,gglmfit.jl,57
0,0.0,gglmfit.jl,56
0,0.0,gglmfit.jl,55
0,0.0,gglmfit.jl,46
0,0.0,gglmfit.jl,45
0,0.0,gglmfit.jl,43
0,0.0,gglmfit.jl,42
0,0.0,gglmfit.jl,38
0,0.0,gglmfit.jl,37
0,0.0,gglmfit.jl,34
0,0.0,gglmfit.jl,31
0,0.0,gglmfit.jl,30
0,0.0,gglmfit.jl,29
0,0.0,gglmfit.jl,28
0,0.0,gglmfit.jl,27
